states,states_code,id,year,population,pop_growth
Alabama,AL,1,2011,4799069,0.284864266
Alaska,AK,2,2011,722128,1.151125492
Arizona,AZ,4,2011,6472643,1.021839276
Arkansas,AR,5,2011,2940667,0.640083177
California,CA,6,2011,37638369,0.854424585
Colorado,CO,8,2011,5121108,1.461341389
Connecticut,CT,9,2011,3588283,0.25618072
Delaware,DE,10,2011,907381,0.865724833
District of Columbia,DC,11,2011,619800,2.408026093
Florida,FL,12,2011,19053237,1.102117706
Georgia,GA,13,2011,9802431,0.932363154
Hawaii,HA,15,2011,1379329,1.126570149
Idaho,ID,16,2011,1583910,0.838073119
Illinois,IL,17,2011,12867454,0.209890532
Indiana,IN,18,2011,6516528,0.402068768
Iowa,IA,19,2011,3066336,0.511055496
Kansas,KS,20,2011,2869225,0.3860835
Kentucky,KY,21,2011,4369821,0.497679374
Louisiana,LA,22,2011,4575625,0.684184862
Maine,ME,23,2011,1328284,0.049336072
Maryland,MD,24,2011,5839419,0.877131004
Massachusetts,MA,25,2011,6613583,0.719978521
Michigan,MI,26,2011,9882412,0.049627892
Minnesota,MN,27,2011,5346143,0.664962224
Mississippi,MS,28,2011,2978731,0.275471058
Missouri,MO,29,2011,6010275,0.23851004
Montana,MT,30,2011,997316,0.668115478
Nebraska,NE,31,2011,1840672,0.608348975
Nevada,NV,32,2011,2712730,0.382067085
New Hampshire,NH,33,2011,1320202,0.261246907
New Jersey,NJ,34,2011,8828117,0.32582733
New Mexico,NM,35,2011,2080450,0.770045995
New York,NY,36,2011,19499241,0.512183633
North Carolina,NC,37,2011,9657592,0.869711623
North Dakota,ND,38,2011,685225,1.55769473
Ohio,OH,39,2011,11544663,0.046163835
Oklahoma,OK,40,2011,3788379,0.756261263
Oregon,OR,41,2011,3872036,0.900197551
Pennsylvania,PA,42,2011,12745815,0.272634441
Rhode Island,RI,44,2011,1053649,-0.029412909
South Carolina,SC,45,2011,4671994,0.784032613
South Dakota,SD,46,2011,823579,0.908271112
Tennessee,TN,47,2011,6399291,0.692019635
Texas,TX,48,2011,25645629,1.599154044
Utah,UT,49,2011,2814384,1.407110933
Vermont,VT,50,2011,627049,0.186937092
Virginia,VA,51,2011,8101155,0.9653403
Washington,WA,53,2011,6826627,1.242757121
West Virginia,WV,54,2011,1856301,0.111204651
Wisconsin,WI,55,2011,5705288,0.260312188
Wyoming,WY,56,2011,567299,0.498151419
Alabama,AL,1,2012,4815588,0.344212596
Alaska,AK,2,2012,730443,1.151457913
Arizona,AZ,4,2012,6554978,1.272046056
Arkansas,AR,5,2012,2952164,0.390965723
California,CA,6,2012,37948800,0.824772721
Colorado,CO,8,2012,5192647,1.396943786
Connecticut,CT,9,2012,3594547,0.174568171
Delaware,DE,10,2012,915179,0.859396439
District of Columbia,DC,11,2012,634924,2.440141981
Florida,FL,12,2012,19297822,1.283692634
Georgia,GA,13,2012,9901430,1.00994335
Hawaii,HA,15,2012,1394804,1.121922326
Idaho,ID,16,2012,1595324,0.720621752
Illinois,IL,17,2012,12882510,0.117008384
Indiana,IN,18,2012,6537703,0.324942976
Iowa,IA,19,2012,3076190,0.321360738
Kansas,KS,20,2012,2885257,0.558757156
Kentucky,KY,21,2012,4386346,0.378161943
Louisiana,LA,22,2012,4600972,0.55395711
Maine,ME,23,2012,1327729,-0.041783233
Maryland,MD,24,2012,5886992,0.814687215
Massachusetts,MA,25,2012,6663005,0.747280256
Michigan,MI,26,2012,9897145,0.149083038
Minnesota,MN,27,2012,5376643,0.570504755
Mississippi,MS,28,2012,2983816,0.170710279
Missouri,MO,29,2012,6024367,0.234465145
Montana,MT,30,2012,1003783,0.648440414
Nebraska,NE,31,2012,1853303,0.686216773
Nevada,NV,32,2012,2743996,1.152565865
New Hampshire,NH,33,2012,1324232,0.305256317
New Jersey,NJ,34,2012,8844942,0.190584244
New Mexico,NM,35,2012,2087309,0.329688289
New York,NY,36,2012,19572932,0.377917274
North Carolina,NC,37,2012,9749476,0.951417289
North Dakota,ND,38,2012,701176,2.327848517
Ohio,OH,39,2012,11548923,0.036900168
Oklahoma,OK,40,2012,3818814,0.803377909
Oregon,OR,41,2012,3899001,0.696403649
Pennsylvania,PA,42,2012,12767118,0.167137213
Rhode Island,RI,44,2012,1054621,0.092250835
South Carolina,SC,45,2012,4717354,0.970891658
South Dakota,SD,46,2012,833566,1.212634125
Tennessee,TN,47,2012,6453898,0.853328908
